timestamp,distance_cm,altitude_angle_deg,azimuth_angle_deg,scan_repeat
1760412834.3707972,15.0,107,12,0
1760412834.4128935,15.0,108,12,0
1760412834.4554062,15.0,109,12,0
1760412834.4976597,15.75,110,12,0
1760412834.539474,16.0,111,12,0
1760412834.5811937,16.0,112,12,0
1760412834.622784,16.0,113,12,0
1760412834.6641383,16.0,114,12,0
1760412834.7069452,15.4,115,12,0
1760412834.748332,15.0,116,12,0
1760412834.7910697,15.0,117,12,0
1760412834.832718,15.0,118,12,0
1760412834.8749611,15.0,119,12,0
1760412834.9164417,15.0,120,12,0
1760412834.9580748,14.75,121,12,0
1760412834.999719,14.0,122,12,0
1760412835.0419219,14.0,123,12,0
1760412835.0836782,14.0,124,12,0
1760412835.1259775,13.8,125,12,0
1760412835.1681805,13.0,126,12,0
1760412835.2104058,13.0,127,12,0
1760412835.2532434,13.0,128,12,0
1760412835.2953293,13.0,129,12,0
1760412835.3369513,13.0,130,12,0
1760412835.3796191,13.0,131,12,0
1760412835.4223156,13.0,132,12,0
1760412835.4648888,13.0,133,12,0
1760412835.5070677,13.0,134,12,0
1760412835.5495856,13.0,135,12,0
1760412835.591487,13.0,136,12,0
1760412835.6333315,13.0,137,12,0
1760412835.675286,13.0,138,12,0
1760412835.7167559,13.0,139,12,0
1760412835.758074,13.0,140,12,0
1760412835.800474,13.8,141,12,0
1760412835.8420095,14.25,142,12,0
1760412835.8845856,14.75,143,12,0
1760412835.927164,15.0,144,12,0
1760412835.9702308,15.0,145,13,0
1760412836.0128717,15.25,144,13,0
1760412836.0551784,16.0,143,13,0
1760412836.0982096,16.0,142,13,0
1760412836.1404574,15.5,141,13,0
1760412836.1828363,15.5,140,13,0
1760412836.225582,15.25,139,13,0
1760412836.26742,15.0,138,13,0
1760412836.309313,15.0,137,13,0
1760412836.350684,15.0,136,13,0
1760412836.3919225,15.0,135,13,0
1760412836.4336133,15.0,134,13,0
1760412836.4761453,15.0,133,13,0
1760412836.5183852,15.0,132,13,0
1760412836.5602372,15.0,131,13,0
